CMDLINE c:\programdata\anaconda3\python.exe prac1.py
MEM 0.847656 1551527181.5349
MEM 8.425781 1551527181.6357
MEM 10.843750 1551527181.7394
MEM 12.785156 1551527181.8461
MEM 15.632812 1551527181.9468
MEM 16.957031 1551527182.0476
MEM 20.789062 1551527182.1483
MEM 23.500000 1551527182.2490
MEM 26.195312 1551527182.3497
MEM 28.398438 1551527182.4505
MEM 30.734375 1551527182.5512
MEM 32.957031 1551527182.6519
MEM 36.296875 1551527182.7527
MEM 37.890625 1551527182.8534
MEM 38.417969 1551527182.9541
MEM 116.902344 1551527183.0549
MEM 205.996094 1551527183.1556
MEM 313.843750 1551527183.2563
MEM 168.281250 1551527183.3571
MEM 38.218750 1551527183.4578
